0,6,10,13,29,0,13,0,0,24,26,11,0,16,0,19,0,24,0,0
6,0,12,11,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
10,12,0,12,0,0,8,16,0,0,0,0,0,0,0,0,26,20,0,0
13,11,12,0,0,6,3,0,0,0,0,0,0,16,0,0,0,0,0,0
29,14,0,0,0,4,0,16,6,0,0,0,0,0,5,0,2,0,5,0
0,0,0,6,4,0,0,0,12,0,0,0,8,0,0,10,0,0,0,0
13,0,8,3,0,0,0,7,16,6,0,0,0,0,12,0,0,0,8,0
0,0,16,0,16,0,7,0,0,8,0,0,0,9,0,0,0,0,0,8
0,0,0,0,6,12,16,0,0,13,2,0,0,16,0,11,0,0,0,0
24,0,0,0,0,0,6,8,13,0,0,0,0,0,7,13,0,0,0,0
26,0,0,0,0,0,0,0,2,0,0,8,7,0,0,17,0,11,16,20
11,0,0,0,0,0,0,0,0,0,8,0,15,0,0,3,4,0,0,10
0,0,0,0,0,8,0,0,0,0,7,15,0,0,0,0,0,0,3,6
16,7,0,16,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,12,0,0,7,0,0,0,0,0,0,0,10,0,0
19,0,0,0,0,10,0,0,11,13,17,3,0,0,0,0,0,9,0,0
0,0,26,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0
24,0,20,0,0,0,0,0,0,0,11,0,0,0,10,9,0,0,0,0
0,0,0,0,5,0,8,0,0,0,16,0,3,0,0,0,10,0,0,13
0,0,0,0,0,0,0,8,0,0,20,10,6,0,0,0,0,0,13,0
